"ccode","decade","pop","pop2","gdp","gdp2","lab","cra","edu","att","lif","hgt","pol","id","hom","bio","c2p","s2p","s2t","c2t","ine","region","ctr"
16,1860,4,4,NA,NA,1.6358770620521,15.4475123940119,NA,NA,NA,NA,NA,NA,NA,0.91,0,0,0,NA,NA,"South and South-East Asia","American Samoa"
16,1870,5,5,NA,NA,2.20508206828498,17.238997137857,NA,NA,NA,NA,NA,NA,NA,0.902,0,0,0,NA,NA,"South and South-East Asia","American Samoa"
16,1880,5,5,NA,NA,2.97234250706617,19.2382446272866,NA,NA,NA,NA,NA,NA,NA,0.892,0,0,0,NA,NA,"South and South-East Asia","American Samoa"
16,1890,6,6,NA,NA,4.00657195774293,21.46934960193,NA,NA,NA,NA,NA,NA,NA,0.882,0,0,0,NA,NA,"South and South-East Asia","American Samoa"
16,1900,7,7,NA,NA,5.40066254626109,23.9592011256643,NA,NA,NA,NA,NA,NA,NA,0.872,0,0,0,NA,NA,"South and South-East Asia","American Samoa"
16,1910,7,7,NA,NA,7.27982830364999,26.7378066510421,NA,NA,NA,NA,NA,NA,NA,0.86,0,0,0,NA,NA,"South and South-East Asia","American Samoa"
16,1920,9,9,NA,NA,9.81285160416342,29.8386536662412,NA,NA,NA,NA,NA,NA,NA,0.839,0,0,0,NA,NA,"South and South-East Asia","American Samoa"
16,1930,11,11,NA,NA,13.2272428124511,33.2991132830707,NA,NA,NA,NA,NA,NA,NA,0.814,0,0,0,NA,NA,"South and South-East Asia","American Samoa"
16,1940,13,13,NA,NA,17.8296747446285,37.160890630038,NA,NA,NA,NA,NA,NA,NA,0.788,0,0,0,NA,NA,"South and South-East Asia","American Samoa"
16,1950,19,19,NA,NA,24.0335273198432,41.4705274785714,NA,NA,NA,NA,NA,NA,NA,0.71,0,0,0,NA,NA,"South and South-East Asia","American Samoa"
16,1960,20,20,NA,NA,32.3960164,46.27996316,NA,NA,NA,NA,NA,NA,NA,0.734,0,0,0,NA,NA,"South and South-East Asia","American Samoa"
16,1970,27,27,NA,NA,33.41282221375,43.9774488925,NA,NA,NA,NA,NA,NA,NA,0.705,0,0,0,NA,NA,"South and South-East Asia","American Samoa"
16,1980,33,33,NA,NA,22.28660596,48.09957362,NA,NA,NA,NA,NA,NA,NA,0.682,0,0,0,NA,NA,"South and South-East Asia","American Samoa"
16,1990,47,47,NA,NA,25.4901785341351,66.1454110713943,NA,NA,NA,NA,NA,NA,NA,0.615,0,0,0,NA,NA,"South and South-East Asia","American Samoa"
16,2000,62.5,62.5,NA,NA,29.1542464055878,90.9616255721754,NA,NA,NA,NA,NA,NA,NA,0.508,0,0,0,NA,NA,"South and South-East Asia","American Samoa"
